Temperature,Forecast,WindSpeed,WindDirection,Precipitation,Pressure,From,To
14,Partly cloudy,2.8,308.8,0.0,1014.3,2015-04-22T19:00:00,2015-04-23T00:00:00
9,Fair,4.4,235.4,0.0,1007.5,2015-04-23T00:00:00,2015-04-23T06:00:00
9,Fair,6.7,293.1,0.0,1001.6,2015-04-23T06:00:00,2015-04-23T12:00:00
11,Fair,7.3,300.6,0.0,1003.0,2015-04-23T12:00:00,2015-04-23T18:00:00
12,Clear sky,7.1,301.3,0.0,1001.3,2015-04-23T18:00:00,2015-04-24T00:00:00
7,Fair,5.4,313.7,0.0,1002.2,2015-04-24T00:00:00,2015-04-24T06:00:00
3,Partly cloudy,3.4,286.6,0.0,1003.8,2015-04-24T06:00:00,2015-04-24T12:00:00
10,Cloudy,4.3,265.3,0.0,1004.9,2015-04-24T12:00:00,2015-04-24T18:00:00
12,Light rain,5.0,259.7,0.7,1003.5,2015-04-24T18:00:00,2015-04-25T00:00:00
7,Cloudy,2.2,206.2,0.2,1003.6,2015-04-25T00:00:00,2015-04-25T06:00:00
8,Cloudy,2.7,232.8,0.0,1002.5,2015-04-25T08:00:00,2015-04-25T14:00:00
13,Cloudy,2.6,273.0,0.0,1001.9,2015-04-25T14:00:00,2015-04-25T20:00:00
10,Cloudy,2.0,165.1,0.0,1001.2,2015-04-25T20:00:00,2015-04-26T02:00:00
7,Partly cloudy,2.3,227.9,0.0,1000.9,2015-04-26T02:00:00,2015-04-26T08:00:00
9,Light rain showers,1.6,249.5,0.6,1001.2,2015-04-26T08:00:00,2015-04-26T14:00:00
14,Clear sky,2.5,216.2,0.2,1001.2,2015-04-26T14:00:00,2015-04-26T20:00:00
10,Partly cloudy,2.2,182.5,0.0,1001.3,2015-04-26T20:00:00,2015-04-27T02:00:00
6,Partly cloudy,2.4,177.0,0.0,1000.9,2015-04-27T02:00:00,2015-04-27T08:00:00
8,Cloudy,4.1,169.5,0.0,1000.0,2015-04-27T08:00:00,2015-04-27T14:00:00
13,Rain,5.5,143.7,2.9,997.9,2015-04-27T14:00:00,2015-04-27T20:00:00
8,Rain,3.5,151.8,2.1,994.4,2015-04-27T20:00:00,2015-04-28T02:00:00
8,Cloudy,2.7,184.0,0.4,992.6,2015-04-28T02:00:00,2015-04-28T08:00:00
7,Clear sky,6.1,262.9,0.0,995.9,2015-04-28T08:00:00,2015-04-28T14:00:00
14,Clear sky,7.3,251.7,0.0,1000.7,2015-04-28T14:00:00,2015-04-28T20:00:00
9,Cloudy,2.8,219.4,0.0,1004.2,2015-04-28T20:00:00,2015-04-29T02:00:00
5,Cloudy,3.2,189.3,0.5,1006.3,2015-04-29T02:00:00,2015-04-29T08:00:00
8,Rain,5.3,188.1,1.0,1004.3,2015-04-29T08:00:00,2015-04-29T14:00:00
11,Partly cloudy,3.6,218.6,0.4,1003.4,2015-04-29T14:00:00,2015-04-29T20:00:00
8,Clear sky,2.3,221.9,0.0,1002.9,2015-04-29T20:00:00,2015-04-30T02:00:00
4,Clear sky,3.0,225.5,0.0,1004.2,2015-04-30T02:00:00,2015-04-30T08:00:00
6,Fair,3.3,229.1,0.5,1004.9,2015-04-30T08:00:00,2015-04-30T14:00:00
12,Clear sky,5.3,227.1,0.2,1005.0,2015-04-30T14:00:00,2015-04-30T20:00:00
8,Cloudy,2.5,191.3,0.0,1005.4,2015-04-30T20:00:00,2015-05-01T02:00:00
4,Partly cloudy,1.1,201.7,0.0,1006.4,2015-05-01T02:00:00,2015-05-01T08:00:00
7,Cloudy,1.7,133.0,0.0,1005.9,2015-05-01T08:00:00,2015-05-01T14:00:00
10,Light rain,5.2,64.1,0.6,1003.0,2015-05-01T14:00:00,2015-05-01T20:00:00
6,Heavy rain,7.2,42.7,9.8,998.3,2015-05-01T20:00:00,2015-05-02T02:00:00
14,Fair,2.8,308.8,0.0,1014.3,2015-04-22T19:00:00,2015-04-22T20:00:00
13,Partly cloudy,2.0,250.9,0.0,1013.3,2015-04-22T20:00:00,2015-04-22T21:00:00
12,Partly cloudy,1.9,219.8,0.0,1012.4,2015-04-22T21:00:00,2015-04-22T22:00:00
10,Partly cloudy,2.6,202.4,0.0,1011.1,2015-04-22T22:00:00,2015-04-22T23:00:00
9,Partly cloudy,3.0,221.6,0.0,1009.4,2015-04-22T23:00:00,2015-04-23T00:00:00
9,Partly cloudy,4.4,235.4,0.0,1007.5,2015-04-23T00:00:00,2015-04-23T01:00:00
9,Partly cloudy,5.9,237.4,0.0,1005.4,2015-04-23T01:00:00,2015-04-23T02:00:00
9,Clear sky,6.4,253.3,0.0,1003.8,2015-04-23T02:00:00,2015-04-23T03:00:00
9,Clear sky,6.6,266.2,0.0,1002.8,2015-04-23T03:00:00,2015-04-23T04:00:00
9,Clear sky,6.4,282.0,0.0,1002.1,2015-04-23T04:00:00,2015-04-23T05:00:00
9,Clear sky,7.0,295.9,0.0,1001.7,2015-04-23T05:00:00,2015-04-23T06:00:00
9,Clear sky,6.7,293.1,0.0,1001.6,2015-04-23T06:00:00,2015-04-23T07:00:00
9,Fair,8.0,299.3,0.0,1001.6,2015-04-23T07:00:00,2015-04-23T08:00:00
10,Fair,9.0,312.8,0.0,1001.7,2015-04-23T08:00:00,2015-04-23T09:00:00
10,Clear sky,9.3,315.6,0.0,1002.2,2015-04-23T09:00:00,2015-04-23T10:00:00
10,Clear sky,7.9,318.1,0.0,1002.8,2015-04-23T10:00:00,2015-04-23T11:00:00
10,Clear sky,7.3,302.2,0.0,1002.9,2015-04-23T11:00:00,2015-04-23T12:00:00
11,Fair,7.3,300.6,0.0,1003.0,2015-04-23T12:00:00,2015-04-23T13:00:00
11,Fair,6.8,295.4,0.0,1002.9,2015-04-23T13:00:00,2015-04-23T14:00:00
12,Fair,7.3,298.8,0.0,1002.7,2015-04-23T14:00:00,2015-04-23T15:00:00
12,Fair,7.0,298.7,0.0,1002.4,2015-04-23T15:00:00,2015-04-23T16:00:00
12,Clear sky,7.3,299.0,0.0,1002.1,2015-04-23T16:00:00,2015-04-23T17:00:00
12,Clear sky,7.0,301.9,0.0,1001.6,2015-04-23T17:00:00,2015-04-23T18:00:00
12,Fair,7.1,301.3,0.0,1001.3,2015-04-23T18:00:00,2015-04-23T19:00:00
11,Fair,6.2,302.9,0.0,1001.1,2015-04-23T19:00:00,2015-04-23T20:00:00
11,Clear sky,6.5,309.6,0.0,1001.4,2015-04-23T20:00:00,2015-04-23T21:00:00
10,Clear sky,5.3,309.6,0.0,1001.7,2015-04-23T21:00:00,2015-04-23T22:00:00
9,Clear sky,3.6,310.2,0.0,1001.8,2015-04-23T22:00:00,2015-04-23T23:00:00
7,Clear sky,3.2,312.9,0.0,1002.0,2015-04-23T23:00:00,2015-04-24T00:00:00
7,Clear sky,5.4,313.7,0.0,1002.2,2015-04-24T00:00:00,2015-04-24T01:00:00
6,Clear sky,4.6,295.8,0.0,1002.4,2015-04-24T01:00:00,2015-04-24T02:00:00
5,Clear sky,4.2,296.8,0.0,1002.8,2015-04-24T02:00:00,2015-04-24T03:00:00
4,Fair,3.8,297.2,0.0,1003.0,2015-04-24T03:00:00,2015-04-24T04:00:00
4,Partly cloudy,3.5,289.3,0.0,1003.3,2015-04-24T04:00:00,2015-04-24T05:00:00
4,Partly cloudy,3.6,286.2,0.0,1003.5,2015-04-24T05:00:00,2015-04-24T06:00:00
3,Partly cloudy,3.4,286.6,0.0,1003.8,2015-04-24T06:00:00,2015-04-24T07:00:00
4,Partly cloudy,4.2,288.2,0.0,1004.1,2015-04-24T07:00:00,2015-04-24T08:00:00
5,Partly cloudy,4.3,290.5,0.0,1004.2,2015-04-24T08:00:00,2015-04-24T09:00:00
6,Partly cloudy,4.0,283.1,0.0,1004.4,2015-04-24T09:00:00,2015-04-24T10:00:00
7,Partly cloudy,4.1,272.9,0.0,1004.7,2015-04-24T10:00:00,2015-04-24T11:00:00
9,Partly cloudy,4.0,271.0,0.0,1004.9,2015-04-24T11:00:00,2015-04-24T12:00:00
10,Partly cloudy,4.3,265.3,0.0,1004.9,2015-04-24T12:00:00,2015-04-24T13:00:00
11,Cloudy,4.2,269.1,0.0,1004.8,2015-04-24T13:00:00,2015-04-24T14:00:00
12,Cloudy,3.4,270.9,0.0,1004.4,2015-04-24T14:00:00,2015-04-24T15:00:00
12,Cloudy,4.2,271.8,0.0,1004.0,2015-04-24T15:00:00,2015-04-24T16:00:00
12,Cloudy,4.3,252.7,0.0,1003.8,2015-04-24T16:00:00,2015-04-24T17:00:00
12,Cloudy,5.2,259.8,0.0,1003.6,2015-04-24T17:00:00,2015-04-24T18:00:00
12,Cloudy,5.0,259.7,0.0,1003.5,2015-04-24T18:00:00,2015-04-24T19:00:00
18,Partly cloudy,4.3,248.2,0.0,1015.1,2015-04-22T19:00:00,2015-04-23T00:00:00
10,Partly cloudy,6.6,211.1,0.0,1010.7,2015-04-23T00:00:00,2015-04-23T06:00:00
7,Fair,2.2,259.3,0.0,1007.8,2015-04-23T06:00:00,2015-04-23T12:00:00
15,Clear sky,5.9,271.9,0.0,1007.3,2015-04-23T12:00:00,2015-04-23T18:00:00
14,Fair,4.9,310.7,0.0,1005.2,2015-04-23T18:00:00,2015-04-24T00:00:00
5,Cloudy,1.1,299.4,0.0,1006.2,2015-04-24T00:00:00,2015-04-24T06:00:00
4,Cloudy,1.3,215.2,0.0,1005.1,2015-04-24T06:00:00,2015-04-24T12:00:00
12,Cloudy,4.4,217.0,0.0,1003.3,2015-04-24T12:00:00,2015-04-24T18:00:00
13,Cloudy,5.9,232.2,0.0,1001.1,2015-04-24T18:00:00,2015-04-25T00:00:00
6,Partly cloudy,2.3,243.4,0.0,1001.3,2015-04-25T00:00:00,2015-04-25T06:00:00
5,Cloudy,0.9,63.9,0.0,1001.7,2015-04-25T08:00:00,2015-04-25T14:00:00
9,Rain,3.3,196.2,1.4,999.9,2015-04-25T14:00:00,2015-04-25T20:00:00
10,Cloudy,2.4,181.8,0.2,998.1,2015-04-25T20:00:00,2015-04-26T02:00:00
7,Cloudy,1.8,158.7,0.2,997.4,2015-04-26T02:00:00,2015-04-26T08:00:00
8,Rain,3.3,176.4,1.2,997.3,2015-04-26T08:00:00,2015-04-26T14:00:00
11,Clear sky,3.6,232.4,0.0,997.5,2015-04-26T14:00:00,2015-04-26T20:00:00
10,Partly cloudy,2.3,192.0,0.0,997.7,2015-04-26T20:00:00,2015-04-27T02:00:00
5,Cloudy,1.9,55.6,0.0,998.0,2015-04-27T02:00:00,2015-04-27T08:00:00
7,Rain,2.5,3.8,2.8,994.5,2015-04-27T08:00:00,2015-04-27T14:00:00
8,Rain,2.8,91.1,2.7,993.6,2015-04-27T14:00:00,2015-04-27T20:00:00
10,Rain,2.4,64.6,2.6,992.9,2015-04-27T20:00:00,2015-04-28T02:00:00
5,Partly cloudy,2.7,190.9,0.0,997.5,2015-04-28T02:00:00,2015-04-28T08:00:00
5,Partly cloudy,3.3,222.2,0.0,996.0,2015-04-28T08:00:00,2015-04-28T14:00:00
8,Rain,3.0,144.7,2.1,998.5,2015-04-28T14:00:00,2015-04-28T20:00:00
9,Partly cloudy,3.1,172.1,0.0,998.2,2015-04-28T20:00:00,2015-04-29T02:00:00
4,Cloudy,2.2,164.3,0.0,1001.5,2015-04-29T02:00:00,2015-04-29T08:00:00
5,Partly cloudy,3.0,182.1,0.0,1001.5,2015-04-29T08:00:00,2015-04-29T14:00:00
10,Partly cloudy,4.3,191.2,0.1,1001.8,2015-04-29T14:00:00,2015-04-29T20:00:00
8,Partly cloudy,3.0,268.6,0.0,1003.4,2015-04-29T20:00:00,2015-04-30T02:00:00
3,Partly cloudy,2.2,184.9,0.0,1004.7,2015-04-30T02:00:00,2015-04-30T08:00:00
4,Partly cloudy,2.5,12.2,0.1,1004.7,2015-04-30T08:00:00,2015-04-30T14:00:00
9,Partly cloudy,3.6,318.3,0.0,1005.6,2015-04-30T14:00:00,2015-04-30T20:00:00
